Success,Tactic,Technique-name,ability-name,Technique-id,operation_fname,adversary_id,atomic_ordering,NAME
Initial-Success,discovery,discovery :: System Service Discovery,discovery :: ['Discover system services'],discovery :: T1007,operation__stockpile_windows_depfalse_pshtrue__t1007__discovery__system_service_discovery__c6607391-d02c-44b5-9b13-d3492ca58599__SAVED_2024-03-09_144216,stockpile_windows_depfalse_pshtrue__t1007__discovery__system_service_discovery__c6607391-d02c-44b5-9b13-d3492ca58599,['c6607391-d02c-44b5-9b13-d3492ca58599'],['Discover system services']
Initial-Success,collection,collection :: Data from Local System,collection :: ['Find Git Repositories'],collection :: T1005,operation__stockpile_windows_depfalse_pshtrue__t1005__collection__data_from_local_system__720a3356-eee1-4015-9135-0fc08f7eb2d5__SAVED_2024-03-09_142432,stockpile_windows_depfalse_pshtrue__t1005__collection__data_from_local_system__720a3356-eee1-4015-9135-0fc08f7eb2d5,['720a3356-eee1-4015-9135-0fc08f7eb2d5'],['Find Git Repositories']
Initial-Success,credential-access,credential-access :: OS Credential Dumping: LSASS Memory,credential-access :: ['Run PowerKatz'],credential-access :: T1003.001,operation__stockpile_windows_depfalse_pshtrue__t1003_001__credential-access__os_credential_dumping-_lsass_memory__baac2c6d-4652-4b7e-ab0a-f1bf246edd12__SAVED_2024-03-09_141537,stockpile_windows_depfalse_pshtrue__t1003_001__credential-access__os_credential_dumping-_lsass_memory__baac2c6d-4652-4b7e-ab0a-f1bf246edd12,['baac2c6d-4652-4b7e-ab0a-f1bf246edd12'],['Run PowerKatz']
Initial-Success,credential-access,credential-access :: OS Credential Dumping: LSASS Memory,credential-access :: ['Powerkatz (Staged)'],credential-access :: T1003.001,operation__stockpile_windows_depfalse_pshtrue__t1003_001__credential-access__os_credential_dumping-_lsass_memory__7049e3ec-b822-4fdf-a4ac-18190f9b66d1__SAVED_2024-03-09_140643,stockpile_windows_depfalse_pshtrue__t1003_001__credential-access__os_credential_dumping-_lsass_memory__7049e3ec-b822-4fdf-a4ac-18190f9b66d1,['7049e3ec-b822-4fdf-a4ac-18190f9b66d1'],['Powerkatz (Staged)']
Initial-Success,credential-access,credential-access :: OS Credential Dumping: LSASS Memory,credential-access :: ['Leverage Procdump for lsass memory'],credential-access :: T1003.001,operation__stockpile_windows_depfalse_pshtrue__t1003_001__credential-access__os_credential_dumping-_lsass_memory__0ef4cc7b-611c-4237-b20b-db36b6906554__SAVED_2024-03-09_135746,stockpile_windows_depfalse_pshtrue__t1003_001__credential-access__os_credential_dumping-_lsass_memory__0ef4cc7b-611c-4237-b20b-db36b6906554,['0ef4cc7b-611c-4237-b20b-db36b6906554'],['Leverage Procdump for lsass memory']
Initial-Success,credential-access,credential-access :: Steal or Forge Authentication Certificates,credential-access :: ['Staging Local Certificates via Export-Certificate'],credential-access :: T1649,operation__atomic_windows_depfalse_pshtrue__t1649__credential-access__steal_or_forge_authentication_certificates__b41910e3770cff37dd642650f0d91672__SAVED_2024-03-09_134853,atomic_windows_depfalse_pshtrue__t1649__credential-access__steal_or_forge_authentication_certificates__b41910e3770cff37dd642650f0d91672,['b41910e3770cff37dd642650f0d91672'],['Staging Local Certificates via Export-Certificate']
Initial-Success,reconnaissance,reconnaissance :: Gather Victim Host Information: Hardware,reconnaissance :: ['Enumerate PlugNPlay Camera'],reconnaissance :: T1592.001,operation__atomic_windows_depfalse_pshtrue__t1592_001__reconnaissance__gather_victim_host_information-_hardware__53861bc51eb67cb9775c95b9e02ad141__SAVED_2024-03-09_125524,atomic_windows_depfalse_pshtrue__t1592_001__reconnaissance__gather_victim_host_information-_hardware__53861bc51eb67cb9775c95b9e02ad141,['53861bc51eb67cb9775c95b9e02ad141'],['Enumerate PlugNPlay Camera']
Initial-Success,multiple,multiple :: Hijack Execution Flow: COR_PROFILER,multiple :: ['Registry-free process scope COR_PROFILER'],multiple :: T1574.012,operation__atomic_windows_depfalse_pshtrue__t1574_012__multiple__hijack_execution_flow-_cor_profiler__7179bb4957f1f7f3004ea70c714a8fb9__SAVED_2024-03-09_124628,atomic_windows_depfalse_pshtrue__t1574_012__multiple__hijack_execution_flow-_cor_profiler__7179bb4957f1f7f3004ea70c714a8fb9,['7179bb4957f1f7f3004ea70c714a8fb9'],['Registry-free process scope COR_PROFILER']
Initial-Success,multiple,multiple :: Hijack Execution Flow: COR_PROFILER,multiple :: ['System Scope COR_PROFILER'],multiple :: T1574.012,operation__atomic_windows_depfalse_pshtrue__t1574_012__multiple__hijack_execution_flow-_cor_profiler__44c554d9bf01759c8a35c8ec8eb8510d__SAVED_2024-03-09_123738,atomic_windows_depfalse_pshtrue__t1574_012__multiple__hijack_execution_flow-_cor_profiler__44c554d9bf01759c8a35c8ec8eb8510d,['44c554d9bf01759c8a35c8ec8eb8510d'],['System Scope COR_PROFILER']
Initial-Success,multiple,multiple :: Hijack Execution Flow: COR_PROFILER,multiple :: ['User scope COR_PROFILER'],multiple :: T1574.012,operation__atomic_windows_depfalse_pshtrue__t1574_012__multiple__hijack_execution_flow-_cor_profiler__07b384a102f27412c1475421f4534f29__SAVED_2024-03-09_122841,atomic_windows_depfalse_pshtrue__t1574_012__multiple__hijack_execution_flow-_cor_profiler__07b384a102f27412c1475421f4534f29,['07b384a102f27412c1475421f4534f29'],['User scope COR_PROFILER']
Initial-Success,initial-access,initial-access :: Phishing: Spearphishing Attachment,initial-access :: ['Word spawned a command shell and used an IP address in the command line'],initial-access :: T1566.001,operation__atomic_windows_depfalse_pshtrue__t1566_001__initial-access__phishing-_spearphishing_attachment__1afaec09315ab71fdfb167175e8a019a__SAVED_2024-03-09_102404,atomic_windows_depfalse_pshtrue__t1566_001__initial-access__phishing-_spearphishing_attachment__1afaec09315ab71fdfb167175e8a019a,['1afaec09315ab71fdfb167175e8a019a'],['Download Macro-Enabled Phishing Attachment']
Initial-Success,defense-evasion,defense-evasion :: Run Virtual Instance,defense-evasion :: ['Create and start Hyper-V virtual machine'],defense-evasion :: T1564.006,operation__atomic_windows_depfalse_pshtrue__t1564__defense-evasion__hide_artifacts__83a5ad479c9e313e60f34380e193102a__SAVED_2024-03-09_095713,atomic_windows_depfalse_pshtrue__t1564__defense-evasion__hide_artifacts__83a5ad479c9e313e60f34380e193102a,['83a5ad479c9e313e60f34380e193102a'],"['Create an ""Administrator "" user (with a space on the end)']"
Initial-Success,defense-evasion,defense-evasion :: Impair Defenses: Indicator Blocking,defense-evasion :: ['LockBit Black - Disable the ETW Provider of Windows Defender -Powershell'],defense-evasion :: T1562.006,operation__atomic_windows_depfalse_pshtrue__t1564_003__defense-evasion__hide_artifacts-_hidden_window__f1222384fe40cc71e7dea9d182014eaf__SAVED_2024-03-09_091314,atomic_windows_depfalse_pshtrue__t1564_003__defense-evasion__hide_artifacts-_hidden_window__f1222384fe40cc71e7dea9d182014eaf,['f1222384fe40cc71e7dea9d182014eaf'],['Hidden Window']
Initial-Success,defense-evasion,defense-evasion :: Impair Defenses: Indicator Blocking,defense-evasion :: ['Disable .NET Event Tracing for Windows Via Registry (powershell)'],defense-evasion :: T1562.006,operation__atomic_windows_depfalse_pshtrue__t1562_006__defense-evasion__impair_defenses-_indicator_blocking__54ef63765cf80243f370958bcf738338__SAVED_2024-03-09_085537,atomic_windows_depfalse_pshtrue__t1562_006__defense-evasion__impair_defenses-_indicator_blocking__54ef63765cf80243f370958bcf738338,['54ef63765cf80243f370958bcf738338'],['LockBit Black - Disable the ETW Provider of Windows Defender -Powershell']
Initial-Success,defense-evasion,defense-evasion :: Impair Defenses: Disable or Modify System Firewall,defense-evasion :: ['Allow Executable Through Firewall Located in Non-Standard Location'],defense-evasion :: T1562.004,operation__atomic_windows_depfalse_pshtrue__t1562_004__defense-evasion__impair_defenses-_disable_or_modify_system_firewall__9378f5d52c7f94cd08f407f8c0a5fbd7__SAVED_2024-03-09_082905,atomic_windows_depfalse_pshtrue__t1562_004__defense-evasion__impair_defenses-_disable_or_modify_system_firewall__9378f5d52c7f94cd08f407f8c0a5fbd7,['9378f5d52c7f94cd08f407f8c0a5fbd7'],['Open a local port through Windows Firewall to any profile']
Initial-Success,defense-evasion,defense-evasion :: Impair Defenses: Disable Windows Event Logging,defense-evasion :: ['Disable Windows IIS HTTP Logging'],defense-evasion :: T1562.002,operation__atomic_windows_depfalse_pshtrue__t1562_004__defense-evasion__impair_defenses-_disable_or_modify_system_firewall__34f398de2b04b96158b3bd25abaea5a7__SAVED_2024-03-09_082017,atomic_windows_depfalse_pshtrue__t1562_004__defense-evasion__impair_defenses-_disable_or_modify_system_firewall__34f398de2b04b96158b3bd25abaea5a7,['34f398de2b04b96158b3bd25abaea5a7'],['Allow Executable Through Firewall Located in Non-Standard Location']
Initial-Success,defense-evasion,defense-evasion :: Impair Defenses: Disable or Modify Tools,defense-evasion :: ['Tamper with Windows Defender Evade Scanning -Extension'],defense-evasion :: T1562.001,operation__atomic_windows_depfalse_pshtrue__t1562_001__defense-evasion__impair_defenses-_disable_or_modify_tools__f0fde90a3d59061b226197974e7dcbaa__SAVED_2024-03-09_073607,atomic_windows_depfalse_pshtrue__t1562_001__defense-evasion__impair_defenses-_disable_or_modify_tools__f0fde90a3d59061b226197974e7dcbaa,['f0fde90a3d59061b226197974e7dcbaa'],['Tamper with Windows Defender ATP PowerShell']
Initial-Success,defense-evasion,defense-evasion :: Impair Defenses: Disable or Modify Tools,defense-evasion :: ['WinPwn - Kill the event log services for stealth'],defense-evasion :: T1562.001,operation__atomic_windows_depfalse_pshtrue__t1562_001__defense-evasion__impair_defenses-_disable_or_modify_tools__e0946bc3b8b888d6c4cdf3f023fe3c0b__SAVED_2024-03-09_072719,atomic_windows_depfalse_pshtrue__t1562_001__defense-evasion__impair_defenses-_disable_or_modify_tools__e0946bc3b8b888d6c4cdf3f023fe3c0b,['e0946bc3b8b888d6c4cdf3f023fe3c0b'],['Tamper with Windows Defender Evade Scanning -Extension']
Initial-Success,defense-evasion,defense-evasion :: Impair Defenses: Disable or Modify Tools,defense-evasion :: ['LockBit Black - Disable Privacy Settings Experience Using Registry -Powershell'],defense-evasion :: T1562.001,operation__atomic_windows_depfalse_pshtrue__t1562_001__defense-evasion__impair_defenses-_disable_or_modify_tools__d5bb3cda05ddba230c90c1afb2640379__SAVED_2024-03-09_071830,atomic_windows_depfalse_pshtrue__t1562_001__defense-evasion__impair_defenses-_disable_or_modify_tools__d5bb3cda05ddba230c90c1afb2640379,['d5bb3cda05ddba230c90c1afb2640379'],['WinPwn - Kill the event log services for stealth']
Initial-Success,defense-evasion,defense-evasion :: Impair Defenses: Disable or Modify Tools,defense-evasion :: ['Disable Hypervisor-Enforced Code Integrity (HVCI)'],defense-evasion :: T1562.001,operation__atomic_windows_depfalse_pshtrue__t1562_001__defense-evasion__impair_defenses-_disable_or_modify_tools__c407315583b3a00d9a2e0c3c510f2c96__SAVED_2024-03-09_070051,atomic_windows_depfalse_pshtrue__t1562_001__defense-evasion__impair_defenses-_disable_or_modify_tools__c407315583b3a00d9a2e0c3c510f2c96,['c407315583b3a00d9a2e0c3c510f2c96'],['Tamper with Windows Defender Evade Scanning -Process']
Initial-Success,defense-evasion,defense-evasion :: Impair Defenses: Disable or Modify Tools,defense-evasion :: ['Disable Microsoft Office Security Features'],defense-evasion :: T1562.001,operation__atomic_windows_depfalse_pshtrue__t1562_001__defense-evasion__impair_defenses-_disable_or_modify_tools__b97004a5d9c4283b6085ddf3ff0d6b4c__SAVED_2024-03-09_065204,atomic_windows_depfalse_pshtrue__t1562_001__defense-evasion__impair_defenses-_disable_or_modify_tools__b97004a5d9c4283b6085ddf3ff0d6b4c,['b97004a5d9c4283b6085ddf3ff0d6b4c'],['Disable Hypervisor-Enforced Code Integrity (HVCI)']
Initial-Success,defense-evasion,defense-evasion :: Impair Defenses: Disable or Modify Tools,defense-evasion :: ['Tamper with Windows Defender ATP using Aliases - PowerShell'],defense-evasion :: T1562.001,operation__atomic_windows_depfalse_pshtrue__t1562_001__defense-evasion__impair_defenses-_disable_or_modify_tools__34952e2eefd3066c5f574744e1734ca6__SAVED_2024-03-09_054134,atomic_windows_depfalse_pshtrue__t1562_001__defense-evasion__impair_defenses-_disable_or_modify_tools__34952e2eefd3066c5f574744e1734ca6,['34952e2eefd3066c5f574744e1734ca6'],['AMSI Bypass - AMSI InitFailed']
Initial-Success,defense-evasion,defense-evasion :: Impair Defenses: Disable or Modify Tools,defense-evasion :: ['Disable Defender Using NirSoft AdvancedRun'],defense-evasion :: T1562.001,operation__atomic_windows_depfalse_pshtrue__t1562_001__defense-evasion__impair_defenses-_disable_or_modify_tools__32047c4f30d4e65ebc9b22b9b8368bca__SAVED_2024-03-09_053245,atomic_windows_depfalse_pshtrue__t1562_001__defense-evasion__impair_defenses-_disable_or_modify_tools__32047c4f30d4e65ebc9b22b9b8368bca,['32047c4f30d4e65ebc9b22b9b8368bca'],['Tamper with Windows Defender ATP using Aliases - PowerShell']
Initial-Success,defense-evasion,defense-evasion :: Impair Defenses: Disable or Modify Tools,defense-evasion :: ['Kill antimalware protected processes using Backstab'],defense-evasion :: T1562.001,operation__atomic_windows_depfalse_pshtrue__t1562_001__defense-evasion__impair_defenses-_disable_or_modify_tools__392e12d6a466407e28d1bb51cf0729bb__SAVED_2024-03-09_055024,atomic_windows_depfalse_pshtrue__t1562_001__defense-evasion__impair_defenses-_disable_or_modify_tools__392e12d6a466407e28d1bb51cf0729bb,['392e12d6a466407e28d1bb51cf0729bb'],['AMSI Bypass - Remove AMSI Provider Reg Key']
Initial-Success,defense-evasion,defense-evasion :: Impair Defenses: Disable or Modify Tools,defense-evasion :: ['Tamper with Windows Defender Evade Scanning -Folder'],defense-evasion :: T1562.001,operation__atomic_windows_depfalse_pshtrue__t1562_001__defense-evasion__impair_defenses-_disable_or_modify_tools__43e3334362b140924f001b256b229ee5__SAVED_2024-03-09_055914,atomic_windows_depfalse_pshtrue__t1562_001__defense-evasion__impair_defenses-_disable_or_modify_tools__43e3334362b140924f001b256b229ee5,['43e3334362b140924f001b256b229ee5'],['Tamper with Windows Defender Registry']
Initial-Success,defense-evasion,defense-evasion :: Impair Defenses: Disable or Modify Tools,defense-evasion :: ['Lockbit Black - Use Registry Editor to turn on automatic logon -Powershell'],defense-evasion :: T1562.001,operation__atomic_windows_depfalse_pshtrue__t1562_001__defense-evasion__impair_defenses-_disable_or_modify_tools__5c4ea84c2b050f1f8b6f880755ccbc62__SAVED_2024-03-09_062540,atomic_windows_depfalse_pshtrue__t1562_001__defense-evasion__impair_defenses-_disable_or_modify_tools__5c4ea84c2b050f1f8b6f880755ccbc62,['5c4ea84c2b050f1f8b6f880755ccbc62'],['Tamper with Windows Defender Evade Scanning -Folder']
Initial-Success,defense-evasion,defense-evasion :: Impair Defenses: Disable or Modify Tools,defense-evasion :: ['Uninstall Crowdstrike Falcon on Windows'],defense-evasion :: T1562.001,operation__atomic_windows_depfalse_pshtrue__t1562_001__defense-evasion__impair_defenses-_disable_or_modify_tools__2e9acde621e7768a73c1b9a1157c444d__SAVED_2024-03-09_052355,atomic_windows_depfalse_pshtrue__t1562_001__defense-evasion__impair_defenses-_disable_or_modify_tools__2e9acde621e7768a73c1b9a1157c444d,['2e9acde621e7768a73c1b9a1157c444d'],['Uninstall Crowdstrike Falcon on Windows']
Initial-Success,credential-access,credential-access :: Credentials from Password Stores,credential-access :: ['Dump credentials from Windows Credential Manager With PowerShell [windows Credentials]'],credential-access :: T1555,operation__atomic_windows_depfalse_pshtrue__t1555__credential-access__credentials_from_password_stores__f5606cc7632289d5ca72d4a485c14f6b__SAVED_2024-03-09_031506,atomic_windows_depfalse_pshtrue__t1555__credential-access__credentials_from_password_stores__f5606cc7632289d5ca72d4a485c14f6b,['f5606cc7632289d5ca72d4a485c14f6b'],['Enumerate credentials from Windows Credential Manager using vaultcmd.exe [Web Credentials]']
Initial-Success,credential-access,credential-access :: Credentials from Password Stores,credential-access :: ['WinPwn - Loot local Credentials - Wifi Credentials'],credential-access :: T1555,operation__atomic_windows_depfalse_pshtrue__t1555__credential-access__credentials_from_password_stores__d74777514cba5a4fd4f297261ed0d8ef__SAVED_2024-03-09_030825,atomic_windows_depfalse_pshtrue__t1555__credential-access__credentials_from_password_stores__d74777514cba5a4fd4f297261ed0d8ef,['d74777514cba5a4fd4f297261ed0d8ef'],['Dump credentials from Windows Credential Manager With PowerShell [windows Credentials]']
Initial-Success,credential-access,credential-access :: Credentials from Password Stores,credential-access :: ['Extract Windows Credential Manager via VBA'],credential-access :: T1555,operation__atomic_windows_depfalse_pshtrue__t1555__credential-access__credentials_from_password_stores__c7aa16aea441e7bec9a6391af601acc9__SAVED_2024-03-09_030139,atomic_windows_depfalse_pshtrue__t1555__credential-access__credentials_from_password_stores__c7aa16aea441e7bec9a6391af601acc9,['c7aa16aea441e7bec9a6391af601acc9'],['WinPwn - Loot local Credentials - Wifi Credentials']
Initial-Success,credential-access,credential-access :: Credentials from Password Stores,credential-access :: ['Enumerate credentials from Windows Credential Manager using vaultcmd.exe [Windows Credentials]'],credential-access :: T1555,operation__atomic_windows_depfalse_pshtrue__t1555__credential-access__credentials_from_password_stores__9d0478981edda6091f911a1305025bde__SAVED_2024-03-09_025458,atomic_windows_depfalse_pshtrue__t1555__credential-access__credentials_from_password_stores__9d0478981edda6091f911a1305025bde,['9d0478981edda6091f911a1305025bde'],['Dump credentials from Windows Credential Manager With PowerShell [web Credentials]']
Initial-Success,credential-access,credential-access :: Credentials from Password Stores,credential-access :: ['WinPwn - Loot local Credentials - lazagne'],credential-access :: T1555,operation__atomic_windows_depfalse_pshtrue__t1555__credential-access__credentials_from_password_stores__6bbb6f8b1db42e2c2c79892e8c31feb3__SAVED_2024-03-09_024140,atomic_windows_depfalse_pshtrue__t1555__credential-access__credentials_from_password_stores__6bbb6f8b1db42e2c2c79892e8c31feb3,['6bbb6f8b1db42e2c2c79892e8c31feb3'],['Enumerate credentials from Windows Credential Manager using vaultcmd.exe [Windows Credentials]']
Initial-Success,credential-access,credential-access :: Credentials from Password Stores: Windows Credential Manager,credential-access :: ['WinPwn - Loot local Credentials - Invoke-WCMDump'],credential-access :: T1555.004,operation__atomic_windows_depfalse_pshtrue__t1555__credential-access__credentials_from_password_stores__2c6e39a39ebf794d74417a7b1291463b__SAVED_2024-03-09_023458,atomic_windows_depfalse_pshtrue__t1555__credential-access__credentials_from_password_stores__2c6e39a39ebf794d74417a7b1291463b,['2c6e39a39ebf794d74417a7b1291463b'],['WinPwn - Loot local Credentials - lazagne']
Initial-Success,credential-access,credential-access :: Credentials from Password Stores: Credentials from Web Browsers,credential-access :: ['Simulating access to Chrome Login Data'],credential-access :: T1555.003,operation__atomic_windows_depfalse_pshtrue__t1555_004__credential-access__credentials_from_password_stores-_windows_credential_manager__1353d954c020fa5ff039b7e85ee261bc__SAVED_2024-03-09_022814,atomic_windows_depfalse_pshtrue__t1555_004__credential-access__credentials_from_password_stores-_windows_credential_manager__1353d954c020fa5ff039b7e85ee261bc,['1353d954c020fa5ff039b7e85ee261bc'],['WinPwn - Loot local Credentials - Invoke-WCMDump']
Initial-Success,credential-access,credential-access :: Credentials from Password Stores: Credentials from Web Browsers,credential-access :: ['WinPwn - Loot local Credentials - mimi-kittenz'],credential-access :: T1555.003,operation__atomic_windows_depfalse_pshtrue__t1555_003__credential-access__credentials_from_password_stores-_credentials_from_web_browsers__e5279c9ad109fef655e2c1abd6304725__SAVED_2024-03-09_021455,atomic_windows_depfalse_pshtrue__t1555_003__credential-access__credentials_from_password_stores-_credentials_from_web_browsers__e5279c9ad109fef655e2c1abd6304725,['e5279c9ad109fef655e2c1abd6304725'],['Simulating access to Windows Edge Login Data']
Initial-Success,credential-access,credential-access :: Credentials from Password Stores: Credentials from Web Browsers,credential-access :: ['WinPwn - PowerSharpPack - Sharpweb for Browser Credentials'],credential-access :: T1555.003,operation__atomic_windows_depfalse_pshtrue__t1555_003__credential-access__credentials_from_password_stores-_credentials_from_web_browsers__c6ea575d9641c11410417105f14175ab__SAVED_2024-03-09_020814,atomic_windows_depfalse_pshtrue__t1555_003__credential-access__credentials_from_password_stores-_credentials_from_web_browsers__c6ea575d9641c11410417105f14175ab,['c6ea575d9641c11410417105f14175ab'],['WinPwn - Loot local Credentials - mimi-kittenz']
Initial-Success,defense-evasion,defense-evasion :: Subvert Trust Controls: Install Root Certificate,defense-evasion :: ['Install root CA on Windows with certutil'],defense-evasion :: T1553.004,operation__atomic_windows_depfalse_pshtrue__t1553_004__defense-evasion__subvert_trust_controls-_install_root_certificate__9d21f3b551b40fa40056af1244af56ee__SAVED_2024-03-09_003439,atomic_windows_depfalse_pshtrue__t1553_004__defense-evasion__subvert_trust_controls-_install_root_certificate__9d21f3b551b40fa40056af1244af56ee,['9d21f3b551b40fa40056af1244af56ee'],['Add Root Certificate to CurrentUser Certificate Store']
Initial-Success,credential-access,credential-access :: Unsecured Credentials: Private Keys,credential-access :: ['CertUtil ExportPFX'],credential-access :: T1552.004,operation__atomic_windows_depfalse_pshtrue__t1552_004__credential-access__unsecured_credentials-_private_keys__f7257d271a176f7c609b4a33513d2eef__SAVED_2024-03-09_000751,atomic_windows_depfalse_pshtrue__t1552_004__credential-access__unsecured_credentials-_private_keys__f7257d271a176f7c609b4a33513d2eef,['f7257d271a176f7c609b4a33513d2eef'],['Export Root Certificate with Export-PFXCertificate']
Initial-Success,credential-access,credential-access :: Unsecured Credentials: Private Keys,credential-access :: ['ADFS token signing and encryption certificates theft - Local'],credential-access :: T1552.004,operation__atomic_windows_depfalse_pshtrue__t1552_004__credential-access__unsecured_credentials-_private_keys__995eb25ee0b9d036110318311ca2527b__SAVED_2024-03-09_000109,atomic_windows_depfalse_pshtrue__t1552_004__credential-access__unsecured_credentials-_private_keys__995eb25ee0b9d036110318311ca2527b,['995eb25ee0b9d036110318311ca2527b'],['Export Root Certificate with Export-Certificate']
Initial-Success,multiple,multiple :: Abuse Elevation Control Mechanism: Bypass User Account Control,multiple :: ['Bypass UAC using sdclt DelegateExecute'],multiple :: T1548.002,operation__atomic_windows_depfalse_pshtrue__t1548_002__multiple__abuse_elevation_control_mechanism-_bypass_user_account_control__f782c9b7007a34343faec301b64e7435__SAVED_2024-03-08_222719,atomic_windows_depfalse_pshtrue__t1548_002__multiple__abuse_elevation_control_mechanism-_bypass_user_account_control__f782c9b7007a34343faec301b64e7435,['f782c9b7007a34343faec301b64e7435'],['Bypass UAC using sdclt DelegateExecute']
Initial-Success,multiple,multiple :: Abuse Elevation Control Mechanism: Bypass User Account Control,multiple :: ['Bypass UAC using ComputerDefaults (PowerShell)'],multiple :: T1548.002,operation__atomic_windows_depfalse_pshtrue__t1548_002__multiple__abuse_elevation_control_mechanism-_bypass_user_account_control__f91d7dfb1e6fd4fa742f24927ca4af26__SAVED_2024-03-08_223401,atomic_windows_depfalse_pshtrue__t1548_002__multiple__abuse_elevation_control_mechanism-_bypass_user_account_control__f91d7dfb1e6fd4fa742f24927ca4af26,['f91d7dfb1e6fd4fa742f24927ca4af26'],['Bypass UAC using ComputerDefaults (PowerShell)']
Initial-Success,multiple,multiple :: Abuse Elevation Control Mechanism: Bypass User Account Control,multiple :: ['WinPwn - UAC Bypass DiskCleanup technique'],multiple :: T1548.002,operation__atomic_windows_depfalse_pshtrue__t1548_002__multiple__abuse_elevation_control_mechanism-_bypass_user_account_control__f27b37f253617c39ac010d2ee1238b7e__SAVED_2024-03-08_222040,atomic_windows_depfalse_pshtrue__t1548_002__multiple__abuse_elevation_control_mechanism-_bypass_user_account_control__f27b37f253617c39ac010d2ee1238b7e,['f27b37f253617c39ac010d2ee1238b7e'],['WinPwn - UAC Bypass DiskCleanup technique']
Initial-Success,multiple,multiple :: Abuse Elevation Control Mechanism: Bypass User Account Control,multiple :: Abuse Elevation Control Mechanism: Bypass User Account Control,multiple :: T1548.002,operation__atomic_windows_depfalse_pshtrue__t1548_002__multiple__abuse_elevation_control_mechanism-_bypass_user_account_control__e7d20e7f0087f8a4234c1d1b7a228bb0__SAVED_2024-03-08_221400,atomic_windows_depfalse_pshtrue__t1548_002__multiple__abuse_elevation_control_mechanism-_bypass_user_account_control__e7d20e7f0087f8a4234c1d1b7a228bb0,['e7d20e7f0087f8a4234c1d1b7a228bb0'],['Disable UAC admin consent prompt via ConsentPromptBehaviorAdmin registry key']
Initial-Success,multiple,multiple :: Abuse Elevation Control Mechanism: Bypass User Account Control,multiple :: ['Disable UAC - Switch to the secure desktop when prompting for elevation via registry key'],multiple :: T1548.002,operation__atomic_windows_depfalse_pshtrue__t1548_002__multiple__abuse_elevation_control_mechanism-_bypass_user_account_control__c4c471259798dd6c7b0b56f716e12113__SAVED_2024-03-08_220716,atomic_windows_depfalse_pshtrue__t1548_002__multiple__abuse_elevation_control_mechanism-_bypass_user_account_control__c4c471259798dd6c7b0b56f716e12113,['c4c471259798dd6c7b0b56f716e12113'],['Disable UAC - Switch to the secure desktop when prompting for elevation via registry key']
Initial-Success,multiple,multiple :: Abuse Elevation Control Mechanism: Bypass User Account Control,multiple :: ['WinPwn - UAC Bypass DccwBypassUAC technique'],multiple :: T1548.002,operation__atomic_windows_depfalse_pshtrue__t1548_002__multiple__abuse_elevation_control_mechanism-_bypass_user_account_control__b473176c321f31824c909c73807caf92__SAVED_2024-03-08_220028,atomic_windows_depfalse_pshtrue__t1548_002__multiple__abuse_elevation_control_mechanism-_bypass_user_account_control__b473176c321f31824c909c73807caf92,['b473176c321f31824c909c73807caf92'],['WinPwn - UAC Bypass DccwBypassUAC technique']
Initial-Success,multiple,multiple :: Abuse Elevation Control Mechanism: Bypass User Account Control,multiple :: ['UAC Bypass with WSReset Registry Modification'],multiple :: T1548.002,operation__atomic_windows_depfalse_pshtrue__t1548_002__multiple__abuse_elevation_control_mechanism-_bypass_user_account_control__64430e7597668877a832b9d1e379c9f2__SAVED_2024-03-08_214025,atomic_windows_depfalse_pshtrue__t1548_002__multiple__abuse_elevation_control_mechanism-_bypass_user_account_control__64430e7597668877a832b9d1e379c9f2,['64430e7597668877a832b9d1e379c9f2'],['UAC Bypass with WSReset Registry Modification']
Initial-Success,multiple,multiple :: Abuse Elevation Control Mechanism: Bypass User Account Control,multiple :: ['Bypass UAC using Event Viewer (PowerShell)'],multiple :: T1548.002,operation__atomic_windows_depfalse_pshtrue__t1548_002__multiple__abuse_elevation_control_mechanism-_bypass_user_account_control__7440c68b83b6d728b4111d083facefec__SAVED_2024-03-08_214704,atomic_windows_depfalse_pshtrue__t1548_002__multiple__abuse_elevation_control_mechanism-_bypass_user_account_control__7440c68b83b6d728b4111d083facefec,['7440c68b83b6d728b4111d083facefec'],['Bypass UAC using Event Viewer (PowerShell)']
Initial-Success,multiple,multiple :: Abuse Elevation Control Mechanism: Bypass User Account Control,multiple :: ['Bypass UAC using Fodhelper - PowerShell'],multiple :: T1548.002,operation__atomic_windows_depfalse_pshtrue__t1548_002__multiple__abuse_elevation_control_mechanism-_bypass_user_account_control__20d68348c822d2947e5a795ac15a22b0__SAVED_2024-03-08_213346,atomic_windows_depfalse_pshtrue__t1548_002__multiple__abuse_elevation_control_mechanism-_bypass_user_account_control__20d68348c822d2947e5a795ac15a22b0,['20d68348c822d2947e5a795ac15a22b0'],['Bypass UAC using Fodhelper - PowerShell']
